id,name,description
---------,------,--------------(Leaders)
100000000,大地之母,none
100010000,亞里莎,none
100020000,艾莉卡,none
100030000,伊莎貝爾,none
100040000,羅文,none
100050000,露娜,none
100060000,尤里亞斯,none
100070000,伊莉絲,none
100080000,伊昂,none
---------,------,---------------(Pack 000 / Normal)
500001201,寶石之光,使1張自己的手牌消失。[ENDL]如果自己的主戰者職業為中立，則會發動[ffbb00]漫遊[-]；2張名稱各不相同的卡片。否則發動[ffbb00]漫遊[-]；2張與自己的主戰者職業相同且名稱各不相同的卡片。
500003201,水晶之耀,使1張自己的手牌消失。[ENDL]如果自己的主戰者職業為中立，則會發動[ffbb00]漫遊[-]；2張名稱各不相同的黃金卡與傳說卡。否則發動[ffbb00]漫遊[-]；2張與自己的主戰者職業相同且名稱各不相同的黃金卡與傳說卡。
---------,------,---------------(Pack 100 / Normal)
110001101,哥布林,none
110001102,治癒天使,[ffbb00]入場曲[-] 回復自己的主戰者2點生命值。
110001201,利刃附魔,給予1個自己的從者+2/+0效果。
110001202,惡魔衝擊波,給予敵方的主戰者或1個敵方的從者3點傷害。
110001203,殞命之舞,破壞1個敵方的從者。給予敵方的主戰者2點傷害。
110001204,蛋蛋大爆炸,給予戰場上的從者全體3點傷害。
110003101,烏列爾,[ffbb00]入場曲[-] 隨機將1張護符卡，由自己的牌堆抽取到手牌中。
110003102,風神,[ffbb00]入場曲[-]與自己的回合開始時，給予自己的從者全體+1/+0效果。
---Elf---,------,---------------
110011101,水之妖精,[ffbb00]謝幕曲[-] 增加1張[ffbb00]妖精[-]到手牌中。
110011102,精靈女孩‧小梅,[ffbb00]入場曲[-] 隨機給予1個敵方的從者1點傷害。
110011103,神奇的精靈法師,[ffbb00]入場曲[-] [ffbb00]連擊[-] 2；抽取1張卡片。
110011104,巨狼,每當從者進入自己的戰場時，獲得+1/+0效果。
110011105,妖精騎士,[ffbb00]突進[-][ENDL][ffbb00]入場曲[-] 增加1張[ffbb00]妖精[-]到手牌中。
110011201,妖精的呼朋引伴,增加2張[ffbb00]妖精[-]到手牌中。
110011202,大自然的導引,使1個自己的從者或1個自己的護符返回手牌。[ENDL]抽取1張卡片。
110011203,森林的反撲,給予1個敵方的從者2點傷害。[ENDL]增加1張[ffbb00]妖精[-]到手牌中。
110012101,魔法精靈公主,none
110012102,森之巨人,[ffbb00]入場曲[-] 給予1個敵方的從者與「自己其他手牌張數」等量的傷害。
110012201,妖精的旋律,增加2張[ffbb00]妖精[-]到手牌中。[ENDL][ffbb00]連擊[-] 2；給予自己的從者全體+1/+1效果。
910011101,妖精,none
--Royal--,------,---------------
110021101,迅捷的劍士,[ffbb00]疾馳[-]
110021102,背水一戰的騎士,[ffbb00]入場曲[-] 召喚1個[ffbb00]騎士[-]到戰場上。
110021103,身經百戰的長槍兵,[ffbb00]守護[-]
110021104,見習騎兵,[ffbb00]疾馳[-]
110021105,女忍者大師,[ffbb00]潛行[-][ENDL][ffbb00]入場曲[-] 召喚1個[ffbb00]女忍者學徒[-]到戰場上。
110021106,角冠之王,[ffbb00]入場曲[-] [ffbb00]攻擊時[-] 給予敵方的從者全體1點傷害。
110021201,師長的教誨,到回合結束為止，給予1個戰場上的從者+1/+0效果。[ENDL]抽取1張卡片。
110021202,武裝強化,給予1個自己的從者+2/+2效果。[ENDL][ffbb00]協作[-]10；轉變為+4/+4。
110022101,女僕事務長,[ffbb00]入場曲[-] 隨機將1張指揮官卡，由自己的牌堆抽取到手牌中。
110022102,華麗的花園劍士,none
110022201,火遁之術,給予1個敵方的從者3點傷害。[ENDL]如果自己的戰場上有[ffbb00]潛行[-]狀態的從者，則會轉變為6點傷害。
910021101,騎士,none
910021102,重裝騎士,none
910021103,戰盾衛士,[ffbb00]守護[-]
910021104,鐵甲騎士,none
910021105,女忍者學徒,[ffbb00]潛行[-]
--Witch--,------,---------------
110031101,天輪巨像,[ffbb00]入場曲[-] [ffbb00]土之秘術[-]；給予敵方的主戰者或1個敵方的從者3點傷害。
110031102,劍刃魔法師,[ffbb00]魔力增幅[-] 消費 -1[ENDL]------[ENDL][ffbb00]疾馳[-]
110031201,魔導飛彈,給予敵方的主戰者或1個敵方的從者1點傷害。[ENDL]抽取1張卡片。
110031202,巨像煉成術,召喚1個[ffbb00]泥塵巨像[-]到戰場上。
110031203,疾風噴射,[ffbb00]魔力增幅[-] 傷害 +1[ENDL]------[ENDL]給予1個敵方的從者1點傷害。
110031204,火炎粉碎術,[ffbb00]魔力增幅[-] 消費 -1[ENDL]------[ENDL]破壞1個敵方的從者。
110031205,智慧之光,抽取1張卡片。
110031301,魔女的大鍋爐,[ffbb00]謝幕曲[-] 抽取1張卡片。
110032101,魔炎毀滅者,[ffbb00]魔力增幅[-] 消費 -1
110032201,實驗開始,召喚1個[ffbb00]土之魔片[-]到戰場上。
110032202,魔力積蓄,使1張手牌中有[ffbb00]魔力增幅[-]效果的卡片發動2次[ffbb00]魔力增幅[-]。[ENDL]抽取1張卡片。
910031101,雪人,none
910031102,泥塵巨像,none
910031103,守護者巨像,[ffbb00]守護[-]
910031104,廢鐵巨像,[ffbb00]守護[-]
910031201,紅蓮的法術,給予敵方的主戰者或1個敵方的從者3點傷害。
910031202,謐藍的法術,給予1個自己的從者+1/+1效果。
910031301,土之魔片,none
-Dragon--,------,---------------
110041101,銀白幼龍,[ffbb00]入場曲[-] 如果[ffbb00]覺醒[-]狀態已發動，則會抽取1張卡片。
110041102,暴嵐的巨龍,[ffbb00]入場曲[-] 如果[ffbb00]覺醒[-]狀態已發動，則會獲得[ffbb00]疾馳[-]效果。
110041103,藍海仙靈,[ffbb00]入場曲[-] 召喚1個[ffbb00]虎鯨[-]到戰場上。
110041104,海劍龍,[ffbb00]入場曲[-] 如果[ffbb00]覺醒[-]狀態已發動，則會獲得[ffbb00]疾馳[-]效果。
110041105,龍騎士守護者,[ffbb00]入場曲[-] 如果[ffbb00]覺醒[-]狀態已發動，則會獲得[ffbb00]守護[-]效果。
110041201,熾熱吐息,給予1個敵方的從者2點傷害。
110041202,龍之翼擊,給予戰場上的從者全體1點傷害。
110041301,龍之卵,自己的回合開始時，如果[ffbb00]覺醒[-]狀態已發動，則會回復自己的主戰者2點生命值，抽取1張卡片，並破壞這個護符。
110042101,翼龍騎士‧葉花,[ffbb00]威壓[-][ENDL][ffbb00]入場曲[-] [ffbb00]爆能強化[-] 7；獲得+2/+2與[ffbb00]疾馳[-]效果。
110042201,龍之鬥氣,使自己的PP最大值+1。[ENDL]抽取2張卡片。[ENDL]回復自己的主戰者3點生命值。
110042301,龍之峽谷,[ffbb00]倒數[-] 3[ENDL]自己的回合結束時，召喚1個[ffbb00]飛龍[-]到戰場上。
910041101,熾炎幼龍,[ffbb00]謝幕曲[-] 隨機給予1個敵方的從者1點傷害。
910041102,虎鯨,none
910041103,飛龍,none
910041104,風暴巨龍,[ffbb00]疾馳[-]
910041105,地獄火魔龍,[ffbb00]突進[-]
